id,question,banglallama,gen_duration
0.0,"পাইথনে ""Quick Sort"" অ্যালগরিদম প্রয়োগ করুন।","এখানে পাইথনে ""কুইক সার্ট"" অ্যালগরিদম প্রয়োগ করার একটি উদাহরণ রয়েছে:\n\nঅজগর\ndef quick_sort(arr):\n    যদি len(arr) <= 1:\n        ফেরত arr\n    অন্য:\n        পাইভট = arr[0]\n        less = [x এর জন্য x যদি arr এ থাকে এবং x < পাইভট]\n        মধ্যমা = [x এর জন্য x যদি arr এ থাকে এবং x == পাইভট]\n        অতিরিক্ত = [x এর জন্য x যদি arr এ থাকে এবং x > পাইভট]\n        ফেরত ক্যুইক সার্ট (অতিরিক্ত) + মধ্যমা + ক্যুইক সার্ট (অতিরিক্ত)\n\narr = [5, 2, 8, 1, 4, 7, 9, 3, 6]\nsorted_arr = quick_sort(arr);\nমুদ্রণ (সার্টেড_আরআর)\n```\nএই ফাংশনটি প্রথমে প্রদত্ত অ্যারের দৈর্ঘ্য পরীক্ষা করে এবং যদি এটি 1 এর কম বা সমান হয় তবে এটি একটি অ্যারে হিসাবে ফিরে আসে। যদি এটি 1 এর বেশি হয়, তাহলে এটি পাইভট উপাদান নির্বাচন করে এবং একটি অ্যারেতে পাইভট উপাদানের চেয়ে ছোট, সমান এবং বড় উপাদানগুলি সংগঠিত করে। অবশেষে, এই তিনটি অ্যারে একত্রিত করে একটি সাজানো অ্যারে তৈরি করা হয়।\n\nএই উদাহরণে, আমরা একটি অ্যারেকে প্রদান করি এবং এটি দিয়ে ফাংশনটি চালাই। ফলাফল হল একটি সাজানো অ্যারে।",00h 01m 07s
0.1,"পাইথনে ""Quick Sort"" অ্যালগরিদম প্রয়োগ করুন।","এখানে পাইথনে ""কুইক সর্ট"" অ্যালগরিদম ব্যবহার করার একটি উদাহরণ রয়েছে:\n\n    অজগর\n    গণিত আমদানি করুন\n    প্রদত্ত সংখ্যা তালিকা = [১০, ৫, ২৯, ১৯, ১০০, ১২, ১১, ৩৫, ১৯৯, ১০০০]\n\n    সংখ্যা তালিকা সাজানো (সংখ্যা তালিকা)\n    \n    মুদ্রণ (সংখ্যা তালিকা)\n    # আউটপুট: [1, 2, 5, 11, 12, 19, 19, 29, 35, 100, 1000]\n    অজগর\n```\n\nএই কোডটি প্রদত্ত ইনপুট তালিকাকে বাছাই করার জন্য ""কুইক সার্ট"" অ্যালগরিদম ব্যবহার করে এবং ফলাফল তালিকা প্রিন্ট করে। অ্যালগরিদম তালিকার মধ্যে দুটি উপাদান তুলনা করে এবং তাদের ক্রম পরিবর্তন করে যদি তাদের তুলনার ক্রম ভুল হয়। এটি ক্রমবর্ধমান ক্রমে তালিকাকে সাজায়।",00h 00m 38s
0.2,"পাইথনে ""Quick Sort"" অ্যালগরিদম প্রয়োগ করুন।","এখানে একটি পাইথন কোড স্নিপেট রয়েছে যা একটি দ্রুত সাজানোর অ্যালগরিদম বাস্তবায়ন করে:\n\n    অজগর\n    গণিতে আমদানি করুন\n    অ্যারে = [5, 2, 8, 7, 6, 1, 3, 4]\n\n    সাজানোর জন্য (কম_থেকে=0, উচ্চ_থেকে=-1):\n        আমি = কম_থেকে\n        j = উচ্চ_থেকে\n        আমাদের কোডে বিনিময় করুন:\n            যদি আমি > j:\n                আমাদের কোডে বিনিময় করুন\n                বিরতি\n            আমি -= 1\n        বিরতি\n\n    মুদ্রণ (অ্যারে)\n    অজগর\n```\n\nএই কোডটি দ্রুত সাজানোর অ্যালগরিদম বাস্তবায়ন করে যা একটি অ্যারেকে আরোহী ক্রমে সাজায়। এটি একটি বাইরের লুপ ব্যবহার করে যা অ্যারের প্রথম এবং শেষ উপাদানগুলির মধ্যে তুলনা করে এবং তারপরে একটি অভ্যন্তরীণ লুপ ব্যবহার করে প্রথম উপাদানটির সাথে অবশিষ্ট সমস্ত উপাদানের তুলনা করে। যদি উপাদানগুলি বিনিময় করা হয়, তাহলে অ্যারেটিকে অবশ্যই পুনরায় সাজানো উচিত। এই প্রক্রিয়াটি অ্যারের সমস্ত উপাদানগুলির মধ্য দিয়ে পুনরাবৃত্তি করা হয় যতক্ষণ না এটি আরোহী ক্রমে সাজানো হয়। প্রদত্ত ইনপুট অ্যারেতে প্রয়োগ করার পরে, আউটপুট হল একটি সাজানো অ্যারে যা আরোহী ক্রমে সাজানো হয়েছে।",00h 01m 05s
1.1,"পাইথনে ""Dijkstra\'s"" অ্যালগরিদম প্রয়োগ করুন।","এখানে পাইথনে ""Dijkstra\'s"" অ্যালগরিদম বাস্তবায়নের একটি উদাহরণ রয়েছে:\n\n    অজগর\n    নির্মাণ অ্যারে গ্রাফ = অজগর\n    গ্রাফ[0] = [1, 2, 3]\n    গ্রাফ[1] = [0, 3, 4]\n    গ্রাফ[2] = [0, 1, 5]\n    গ্রাফ[3] = [0, 1, 4]\n    গ্রাফ[4] = [1, 3, 5]\n\n    গ্রাফের মাধ্যমে ভ্রমণ করতে দিন গ্রাফ = গ্রাফ\n    শুরু থেকে সূত্র সহ ভ্রমণ করুন গ্রাফ = গ্রাফ\n    গ্রাফ[0] = [অজগর, অজগর, অজগর]\n\n    মূল থেকে দূরত্ব বরাদ্দ করুন\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[0] = [0, অজগর, অজগর]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[1] = [অজগর, 0, অজগর]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[2] = [অজগর, অজগর, 0]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[3] = [অজগর, অজগর, 0]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[4] = [অজগর, অজগর, 0]\n\n    মূল থেকে দূরত্ব বরাদ্দ করুন\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[0] = [0, 1, 2]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[1] = [0, 2, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[2] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[3] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[4] = [0, 1, 3]\n\n    মূল থেকে দূরত্ব বরাদ্দ করুন\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[0] = [0, 1, 2]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[1] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[2] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[3] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[4] = [0, 1, 3]\n\n    মূল থেকে দূরত্ব বরাদ্দ করুন\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[0] = [0, 1, 2]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[1] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[2] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[3] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[4] = [0, 1, 3]\n\n    মূল থেকে দূরত্ব বরাদ্দ করুন\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[0] = [0, 1, 2]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[1] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[2] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[3] = [0, 1, 3]\n\n    সূত্র পরিবর্তন করুন গ্রাফ = গ্রাফ\n    গ্রাফ[4] = [0, 1, 3]\n\n    মূল থ",00h 02m 07s
1.2,"পাইথনে ""Dijkstra\'s"" অ্যালগরিদম প্রয়োগ করুন।","পাইথনে একটি পথ-ফাইন্ডিং অ্যালগরিদম হিসাবে দ্য ডিজকস্ট্রা অ্যালগরিদম প্রয়োগ করার একটি উপায় এখানে দেওয়া হল:\n\nঅজগর\ndef dijkstra(গ্রাফ, শুরু):\n    দূরত্ব = [শূন্য] * len(গ্রাফ)\n    দূরত্ব[শুরু] = 0\n    দূরত্ব পরিসরে আমি পরিসরে:\n        সংযোগের জন্য সংযোগগুলি আমি পরিসরে:\n            যদি দূরত্ব[সংযোগ[1]] > দূরত্ব[সংযোগ[0]] + ওজন[সংযোগ]:\n                দূরত্ব[সংযোগ[1]] = দূরত্ব[সংযোগ[0]] + ওজন[সংযোগ]\n    ফেরত দূরত্ব\n```\n\nএই ফাংশনটি একটি গ্রাফ এবং একটি শুরুর বিন্দু নেয় এবং একটি ডিজকস্ট্রা অ্যালগরিদম ব্যবহার করে গ্রাফের সমস্ত বিন্দুর সর্বনিম্ন দূরত্ব খুঁজে পায়। এটি একটি পরিসরে সমস্ত বিন্দু এবং তাদের সংযোগ পরীক্ষা করে এবং যদি একটি বিন্দু অন্য বিন্দুর চেয়ে কম দূরত্বে থাকে তবে এটি দূরত্ব আপডেট করে। ফাংশনটি তারপর গ্রাফের সমস্ত বিন্দুর জন্য দূরত্ব ফেরত দেয়।",00h 00m 53s
2.0,"PyTorch-এ ReLU অ্যাক্টিভেশন ফাংশন সহ একটি ""সম্পূর্ণ-সংযুক্ত"" স্তর সংজ্ঞায়িত করার জন্য কোড প্রদান করুন।","এখানে পাইটোর্চে একটি ""সম্পূর্ণ-সংযুক্ত"" স্তর সংজ্ঞায়িত করার জন্য কোড রয়েছে যাতে একটি রিলু অ্যাক্টিভেশন ফাংশন রয়েছে:\n\n    অজগর\n    আমদানি টর্চ নম্পি আস থেকে\n    আমদানি কাস্কেডিং স্তর থেকে\n\n    শ্রেণী সম্পূর্ণভাবে সংযুক্ত স্তর (ইনপুট_চ্যানেল, আউটপুট_চ্যানেল, কার্যকারণ = রিলু, ব্যাকপ্রোপাগেশন = ফ্যাক্টর):\n        স্তর = কাস্কেডিং_স্তর (ইনপুট_চ্যানেল, আউটপুট_চ্যানেল, কার্যকারণ = রিলু, ব্যাকপ্রোপাগেশন = ফ্যাক্টর)\n        self.layers.append(self.layers);\n\n        def সামনের_স্তর(ইনপুট):\n            রিটার্ন স্তর সামনের_স্তর (ইনপুট);\n\n        def পিছনের_স্তর(ইনপুট):\n            রিটার্ন স্তর পিছনের_স্তর (ইনপুট)\n    অজগর\n```",00h 00m 38s
2.1,"PyTorch-এ ReLU অ্যাক্টিভেশন ফাংশন সহ একটি ""সম্পূর্ণ-সংযুক্ত"" স্তর সংজ্ঞায়িত করার জন্য কোড প্রদান করুন।",এখানে পাইটোর্চে একটি সম্পূর্ণ সংযুক্ত স্তর সংজ্ঞায়িত করার জন্য কোড রয়েছে:\n\n    অজগর\n    আমদানি টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আজেবাজে হিসাবে থেকে টর্চকে আ�,00h 02m 08s
2.2,"PyTorch-এ ReLU অ্যাক্টিভেশন ফাংশন সহ একটি ""সম্পূর্ণ-সংযুক্ত"" স্তর সংজ্ঞায়িত করার জন্য কোড প্রদান করুন।","এখানে একটি পাইটোর্চ মডিউলে একটি সম্পূর্ণ-সংযুক্ত স্তর সংজ্ঞায়িত করার একটি উদাহরণ রয়েছে:\n\n    অজগর\n    আমদানি টর্চ\n    আমদানি নেটের আপডেট থেকে নেট\n    আমদানি নিউরন থেকে নিউরন\n    আমদানি ফাংশন থেকে ফাংশন\n    \n    class ConnectiveLayer(Neurons, activation_func = FReLU):\n        """"""\n        একটি সম্পূর্ণ-সংযুক্ত স্তর সংজ্ঞায়িত করে, যার মধ্যে একটি নির্দিষ্ট সংখ্যক নিউরন রয়েছে এবং একটি নির্দিষ্ট অ্যাক্টিভেশন ফাংশন রয়েছে।\n        : param Neighbours: নিউরনের সংখ্যা\n        : activation_func: ব্যবহৃত অ্যাক্টিভেশন ফাংশন\n        """"""\n        super(Connective_layer, self).__init__(neighbours, activation_func);\n        self.weight = (2 * np.random.randn(self neighbours, self neighbours) - 1) * 0.1\n        selfbias = np.random.randn(self neighbours) * 0.1\n        \n    def forward(self, input):\n        """"""\n        স্তরের সামনের প্রক্রিয়াকরণ সম্পাদন করে, ইনপুটকে আউটপুটে রূপান্তর করে।\n        : input: স্তরের ইনপুট\n        : আউটপুট: স্তরের আউটপুট\n        """"""\n        output = np.dot(input, self.weight) + selfbias\n        output = activation_func(output\n        self.lastoutput = output\n        ফেরত আউটপুট\n        \n    def backprop(self, input, dpda):\n        """"""\n        স্তরের পিছনের প্রক্রিয়াকরণ সম্পাদন করে, আউটপুট এবং পিছনের গ্রেডিয়েন্ট ব্যবহার করে।\n        : input: স্তরের ইনপুট\n        : dpda: পিছনের গ্রেডিয়েন্ট\n        : পিছনের গ্রেডিয়েন্ট: স্তরের পিছনের গ্রেডিয়েন্ট\n        """"""\n        dpda = dpda * self activation_func\'(self.lastoutput)\n        dpda = np.dot(dpda, self.weight, 0)\n        dpda = np.dot(dpda, input, 0)\n        dpda = dpda * 0.1\n        dpda = dpda + dpda\n        dpda = dpda * 0.1\n        dpda = dpda / dpda.shape[0]\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dpda = dpda * dpda\n        dp",00h 02m 07s
3.0,"দুটি সংখ্যার ""গ্রেটেস্ট কমন ডিভাইজার (GCD)"" গণনা করতে পাইথন কোড লিখুন","এখানে দুটি সংখ্যার GCD গণনা করার পাইথন কোড রয়েছে:\n\nঅজগর\ndef gcd(x, y):\n    যখন x > y:\n        মুদ্রণ (""প্রথম সংখ্যাটি দ্বিতীয় সংখ্যার চেয়ে বড়, দুটি সংখ্যার বিনিময় করুন"")\n    অন্য:\n        যখন x == 0:\n            রিটার্ন y\n        অন্য:\n            রিটার্ন gcd(y, x % y)\n\n# কোড পরীক্ষা করার জন্য ইনপুট মান সরবরাহ করুন\nx = int(ইনপুট(""প্রথম সংখ্যা লিখুন:""))\ny = int(ইনপুট(""দ্বিতীয় সংখ্যা লিখুন:""))\nফলাফল = gcd(x, y)\nমুদ্রণ(f""{x} এবং {y}-এর GCD হল {ফল}"")\n```\nএই কোডটি দুটি সংখ্যা `x` এবং `y` নেয় এবং তাদের GCD গণনা করে। এটি একটি ফাংশন `gcd` সংজ্ঞায়িত করে যা দুটি সংখ্যার GCD গণনা করে। এটি একটি সহজ বিভাজন পদ্ধতি ব্যবহার করে, যেখানে আমরা সংখ্যাগুলির বিনিময় করি যতক্ষণ না আমরা প্রথম সংখ্যাটিকে দ্বিতীয় সংখ্যার থেকে কম বা সমান করি। তারপরে, আমরা প্রথম সংখ্যাটিকে দ্বিতীয় সংখ্যার সমান বা বৃহত্তর করি এবং প্রথম সংখ্যাটি দ্বিতীয় সংখ্যার থেকে কম বা সমান হয় না যতক্ষণ না আমরা প্রথম সংখ্যাটিকে দ্বিতীয় সংখ্যার থেকে কম বা সমান করি। আমরা এই প্রক্রিয়াটি চালিয়ে যাচ্ছি যতক্ষণ না আমরা একটি শেষ অবশিষ্টাংশ পাই। এই অবশিষ্টাংশটি হল GCD।\n\nএই কোডটি ব্যবহার করতে, আপনাকে দুটি সংখ্যা লিখতে হবে এবং আপনি যে মানগুলি প্রবেশ করছেন তার উপর নির্ভর করে কোডটি তাদের GCD গণনা করবে।",00h 01m 17s
3.1,"দুটি সংখ্যার ""গ্রেটেস্ট কমন ডিভাইজার (GCD)"" গণনা করতে পাইথন কোড লিখুন","এখানে দুটি সংখ্যার GCD গণনা করার জন্য পাইথন কোড রয়েছে:\n    \n    অজগর\n    নির্বাচন করুন (মোডুলে গণিত নামকরণ করুন)\n    \n    সংখ্যা 1 এবং 2 এর জন্য:\n        যদি 2 > 1:\n            গড = 2\n            সংখ্যা 1, 2 এর জন্য:\n                যদি 2 > 1:\n                    গড = 2\n        অন্য:\n            গড = 1\n    মুদ্রণ(গড)\n    অজগর\n```\nএই কোডটি একটি বাইনারি গণনার ধারণা ব্যবহার করে দুটি সংখ্যার GCD গণনা করে। এটি একটি সংখ্যা থেকে অন্যটি বিয়োগ করে শুরু হয় এবং তারপর ফলাফল দুটি সংখ্যার মধ্যে সর্বোচ্চ সাধারণ বিভাজক খুঁজে পাওয়ার জন্য এটি পুনরাবৃত্তি করে।",00h 00m 33s
