Instruction,Category
"পাইথনে ""Quick Sort"" অ্যালগরিদম প্রয়োগ করুন।",coding
"পাইথনে ""Dijkstra's"" অ্যালগরিদম প্রয়োগ করুন।",coding
"PyTorch-এ ReLU অ্যাক্টিভেশন ফাংশন সহ একটি ""সম্পূর্ণ-সংযুক্ত"" স্তর সংজ্ঞায়িত করার জন্য কোড প্রদান করুন।",coding
"দুটি সংখ্যার ""গ্রেটেস্ট কমন ডিভাইজার (GCD)"" গণনা করতে পাইথন কোড লিখুন",coding
পাইথনে ফিবোনাচি ক্রম গণনা করার জন্য একটি ফাংশন লিখুন,coding
"পাইথনে ""বাইনারী অনুসন্ধান"" বাস্তবায়নের জন্য কোড লিখুন",coding
ক্লাসের সমস্ত ছাত্রদের নাম তালিকার নামগুলিতে সংরক্ষণ করা হয় এবং সমস্ত ছাত্রদের উচ্চতা তালিকার উচ্চতায় সংরক্ষণ করা হয়। তাদের সম্পর্ক একের সাথে এক চিঠিপত্র। সাজানোর জন্য পাইথন কোড লিখুন। সর্বনিম্ন থেকে সর্বোচ্চ উচ্চতা পর্যন্ত সকল ছাত্রের নাম।,coding
"একটি স্ট্রিং দেওয়া, এতে উপস্থিত সমস্ত সংখ্যা খুঁজুন এবং তাদের অবস্থানগুলি আউটপুট করুন। বাস্তবায়ন করতে পাইথন ব্যবহার করুন",coding
"একটি অ্যারে দেওয়া, কিভাবে তার উপাদানের ক্রম এলোমেলো করে? পাইথন ভাষায় এটি বাস্তবায়ন করুন",coding
"ইনপুট হিসাবে একটি ধনাত্মক পূর্ণসংখ্যা দেওয়া হলে প্রতিটি সংখ্যার সংঘটনের সংখ্যা আউটপুট করতে কোড লিখুন। বাস্তবায়ন করতে, পাইথন ব্যবহার করুন।",coding
"কিভাবে PyTorch এর FP32 ""মডেল"" ""আধা-সুনির্দিষ্টভাবে"" সংরক্ষণ করবেন?",coding
"একটি প্রোগ্রাম চালানোর সময় ""সেগমেন্টেশন ফল্ট"" এর কারণগুলি কী কী? কীভাবে এটি এড়ানো যায়?",coding
"পাইথন প্রোগ্রাম চালানোর সময় একটি ত্রুটি ঘটেছে: ""TypeError: 'list' অবজেক্টকে পূর্ণসংখ্যা হিসাবে ব্যাখ্যা করা যায় না"", কীভাবে এটি ঠিক করবেন",coding
"মেশিন লার্নিং এ ""লার্নিং রেট"" খুব বেশি দিলে কি সমস্যা হয়? কিভাবে এটা এড়ানো যায়?",entertainment
"কাকে প্রথম বাংলা সিনেমার ""সুপারস্টার"" বলা হয়?",entertainment
"পথের পাঁচালী এবং ""অপুর সংসার"" কোন বিখ্যাত বাঙালি চলচ্চিত্র নির্মাতা দ্বারা পরিচালিত হিট ছবি ছিল?",entertainment
"কোন কবি বাংলা এবং ভারত উভয় দেশের তার কাজের জন্য পরিচিত এবং প্রায়শই ""বিশ্বকবি"" নামে পরিচিত?",entertainment
কেয়ামত থেকে কেয়ামত বিখ্যাত বাংলা অভিনেতা সালমান শাহ্‌ অভিনীত আর কি কি চলচ্চিত্র খুবই জনপ্রিয়?,entertainment
৯ম কান চলচ্চিত্র উৎসব এ পাল্ম দর শ্রেষ্ঠ মানবিক দলিল ওসিআইসি পুরস্কার কোন চলচ্চিত্র অর্জন করে ?,entertainment
"বাংলদেশি ব্যান্ড  গায়কের নাম বলুন যাকে প্রায়ই ""গুরু"" বলা হয় যিনি হিন্দি ভাষায় গান গেয়েছিলেন?",entertainment
"গোয়েন্দা গল্প ""শারলক হোমস"" এর  মত করে কোন বাংলা গোয়েন্দা চরিত্র ব্যাপক জনপ্রিয়?",entertainment
